comune,candidato,lista,voti
ALLEIN,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",1
ALLEIN,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",40
ALLEIN,"DARIA PULZ","VALLE D'AOSTA APERTA",6
ALLEIN,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",3
ALLEIN,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",3
ALLEIN,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",25
ALLEIN,"LARISA BARGAN",VITA,1
ANTEY-SAINT-ANDRE',"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",2
ANTEY-SAINT-ANDRE',"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",87
ANTEY-SAINT-ANDRE',"DARIA PULZ","VALLE D'AOSTA APERTA",18
ANTEY-SAINT-ANDRE',"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",3
ANTEY-SAINT-ANDRE',"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",6
ANTEY-SAINT-ANDRE',"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",92
ANTEY-SAINT-ANDRE',"LARISA BARGAN",VITA,4
AOSTA,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",331
AOSTA,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",5004
AOSTA,"DARIA PULZ","VALLE D'AOSTA APERTA",1656
AOSTA,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",491
AOSTA,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",423
AOSTA,"NICOLETTA SPELGATTI","LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA",4746
AOSTA,"LARISA BARGAN",VITA,268
ARNAD,"GIOVANNI GUGLIELMO LERAY","PARTITO COMUNISTA ITALIANO",10
ARNAD,"PATRIK VESAN","VALLÉE D’AOSTE – AUTONOMIE PROGRÈS FÉDÉRALISME",201
ARNAD,"DARIA PULZ","VALLE D'AOSTA APERTA",34
ARNAD,"ALESSANDRO BICHINI","ITALIA SOVRANA E POPOLARE",11
ARNAD,"FRANCESCO, MARIA, GIUSEPPE, CARLO LUCAT","UNIONE POPOLARE CON DE MAGISTRIS",15
